OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SITRO-AIS 10 (BURDAEV),2023-091AK,2026-05-14T22:27:58.813632,15.37295121,.00072399,97.5102,204.7160,179.4459,180.6794,0,U,57199,999,15965,.35502328E-3,.12905E-3,0
SITRO-AIS 9 (SHCHUKIN),2023-091AM,2026-05-14T22:51:25.358976,15.36841109,.00074316,97.5100,204.4877,180.1944,179.9298,0,U,57201,999,15964,.34403792E-3,.12321E-3,0
SITRO-AIS 12 (SMIRENNIY),2023-091AQ,2026-05-14T22:46:51.508128,15.37125666,.00072301,97.5112,204.9310,174.1216,186.0114,0,U,57204,999,15966,.33808545E-3,.12217E-3,0
SITRO-AIS 11 (SHEFFER),2023-091AU,2026-05-14T23:18:54.239040,15.37519087,.00071807,97.5110,205.1801,173.9255,186.2078,0,U,57208,999,15968,.33175792E-3,.1214E-3,0
SITRO-AIS 25,2024-039R,2026-05-14T22:35:18.580128,14.93271191,.01474048,95.3921,212.2500,84.5138,277.2880,0,U,59066,999,11976,.24284686E-3,.3115E-4,0
SITRO-AIS 26,2024-039S,2026-05-14T22:30:50.438592,14.93073823,.01477338,95.3922,212.1523,85.0635,276.7438,0,U,59067,999,11975,.23285683E-3,.2972E-4,0
SITRO-AIS 27,2024-039T,2026-05-14T23:37:47.049312,14.93486891,.01468706,95.3925,212.4405,83.5911,278.2015,0,U,59068,999,11978,.22497216E-3,.2896E-4,0
SITRO-AIS 28,2024-039U,2026-05-14T23:06:24.413184,14.93521324,.01468038,95.3926,212.4710,83.5436,278.2482,0,U,59071,999,11978,.27642487E-3,.3568E-4,0
GRBBETA,2024-128C,2026-05-14T23:11:37.087008,15.06351819,.00451245,61.9903,332.7971,127.8423,232.6767,0,U,60237,999,10126,.19703175E-3,.2758E-4,0
OOV-CUBE (TUBSAT-30),2024-128F,2026-05-14T14:01:26.770368,15.02594260,.00487801,61.9949,342.7297,126.4623,234.0978,0,U,60240,999,10106,.12409816E-3,.1484E-4,0
ROBUSTA-3A (MEDITERRANEE),2024-128J,2026-05-14T22:09:15.572160,15.11125342,.00457706,61.9866,325.8305,121.7029,238.8541,0,U,60243,999,10139,.3231088E-3,.5352E-4,0
LASARSAT,2024-247Q,2026-05-14T07:05:32.423424,15.44206327,.00048327,44.9738,92.3362,129.6361,230.4955,0,U,62391,999,7807,.47806398E-3,.22146E-3,0
CROCUBE,2024-247T,2026-05-14T14:09:25.465248,15.45812512,.00045166,44.9718,88.5239,135.4760,224.6493,0,U,62394,999,7814,.46367588E-3,.22695E-3,0
FORESAIL-1 PRIME,2025-276DS,2026-05-14T10:56:31.819776,15.18376987,.00019322,97.4211,208.3508,182.3815,177.7411,0,U,66778,999,2528,.15593721E-3,.3138E-4,0
KNACKSAT-2,1998-067XZ,2026-05-14T14:53:13.075008,15.56964080,.00124471,51.6276,102.9176,74.8469,285.3899,0,U,67683,999,1504,.38017339E-3,.27627E-3,0
